"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"86","Rangerjoe63Dot","745672323596836864",2017-12-13 03:02:48,"940779006399414274","#NYTNeedle https://t.co/Q0EgVBW9nA",0,0,TRUE,"940761293044232193",FALSE,NA,NA,NA,NA,"und","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/laurenduca/sta…","https://twitter.com/laurenduca/status/940761293044232193",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","alexgoldmark","17689928",2017-12-13 03:00:56,"940778536364859393","The #NYTNeedle is the car crash you can't help but look at and gives you PTSD.",2,13,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Hootsuite",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","ParishStacy","2387967234",2017-12-13 03:00:09,"940778338146291713","Living for #NYTneedle! #AlabamaSenateElection #NoMoore",0,3,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle AlabamaSenateElection NoMoore",NA,"37d64ec7121fc808","city","Neenah","Neenah, WI","US","United States","-88.531088 -88.433837 -88.433837 -88.531088 44.119938 44.119938 44.194617 44.194617","Polygon"
"89","lyndabrendish","125261222",2017-12-13 02:58:53,"940778019739881472","For those watching every quiver of the #NYTneedle with me rn https://t.co/UNTdHWRRJp",0,0,TRUE,"940775006304337921",FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/nate_cohn/stat…","https://twitter.com/nate_cohn/status/940775006304337921",NA,NA,NA,"NYTneedle",NA,"d049033410e9e81b","city","Mobile","Mobile, AL","US","United States","-88.301598 -88.021513 -88.021513 -88.301598 30.523874 30.523874 30.843424 30.843424","Polygon"
"90","CharlesPaulTX","2886315693",2017-12-13 02:58:45,"940777985937985536","I wish #NYTneedle would just swing out of my screen and point towards Jeb Bush, standing right behind me already",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","amandaach","604688577",2017-12-13 02:58:41,"940777970624372736","Mood #NYTneedle #ALSen https://t.co/28wj7OoAst",0,4,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client","940777962013462528","http://pbs.twimg.com/media/DQ5Qkm5UEAABzAH.jpg","https://twitter.com/amandaach/status/940777970624372736/photo/1",NA,NA,NA,NA,NA,NA,"NYTneedle ALSen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","AndyS_Denver","2457226262",2017-12-13 02:58:13,"940777853204930560","Ok now I see why @jonfavs hates the #nytneedle. This is torture",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"jonfavs","130496027",NA,"nytneedle",NA,"29e276ea0852211f","city","Twin Lakes","Twin Lakes, CO","US","United States","-105.02515 -104.983142 -104.983142 -105.02515 39.8128 39.8128 39.833565 39.833565","Polygon"
"93","tylerDPT","39336429",2017-12-13 02:57:53,"940777767280480257","@jonlovett HE KNOW #NYTNeedle #chasingthedragon",0,0,FALSE,NA,FALSE,NA,"940777200478863360","174110843","jonlovett","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"jonlovett","174110843",NA,"NYTNeedle chasingthedragon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","vedashastri","622504763",2017-12-13 02:56:34,"940777437889286145","Our favorite thread tonight is #NYTNeedle amirite?!",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","TeknaMnemosynes","824375966680104962",2017-12-13 02:56:14,"940777353281712130","Some of us need to think about our relationship to needles. #NYTneedle",1,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYTneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
